#SA  FB
0.30766     0.30387     
0.30676     0.30387     
0.30517     0.30393     
0.30039     0.30384     
0.3036      0.30395     
0.3061      0.30395     
0.30314     0.30377     
0.3001      0.30381     
0.30279     0.30386     
0.29981     0.3039      
0.30099     0.30384     
0.29968     0.30381     
0.29699     0.30378     
0.29929     0.30384     
0.30091     0.30378     
0.3012      0.30383     
0.2982      0.30392     
0.29745     0.30378     
0.29754     0.30375     
0.29777     0.30372     
0.29722     0.30381     
0.29844     0.30393     
0.30134     0.30389     
0.30036     0.30381     
0.29798     0.3037      
0.30178     0.30363     
0.30134     0.30374     
0.30546     0.30377     
0.30143     0.30384     
0.3025      0.30378     
